127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000270
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000269
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000508
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000334
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000343
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.000337
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/js/typeahead.min.js, HTTP/1.1, 200, 0.000298
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000290
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.288122
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.065584
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.288136
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.288759
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000433
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/static/_2.7.3/images/files_toggle.png, HTTP/1.1, 200, 0.000299
127.0.0.1, 2013-11-06 11:15:32, GET, /admin/default/edit/examples/views/appadmin.html, HTTP/1.1, 200, 0.050049
127.0.0.1, 2013-11-06 11:15:33, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000392
127.0.0.1, 2013-11-06 11:15:33, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.112865
127.0.0.1, 2013-11-06 11:15:41, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.358166
127.0.0.1, 2013-11-06 11:16:17, GET, /Performatrix/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000411
127.0.0.1, 2013-11-06 11:16:19, GET, /Performatrix/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000961
127.0.0.1, 2013-11-06 11:16:21, GET, /Performatrix/default/user/login, HTTP/1.1, 200, 0.536056
127.0.0.1, 2013-11-06 11:16:21, GET, /Performatrix/static/js/share.js, HTTP/1.1, 304, 0.000758
127.0.0.1, 2013-11-06 11:16:29, GET, /Performatrix/default/user/register, HTTP/1.1, 200, 0.502538
127.0.0.1, 2013-11-06 11:16:30, GET, /Performatrix/static/js/share.js, HTTP/1.1, 304, 0.000728
127.0.0.1, 2013-11-06 11:16:53, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.325703
127.0.0.1, 2013-11-06 11:17:08, GET, /admin/default/peek/examples/controllers/layout_examples.py, HTTP/1.1, 200, 0.037432
127.0.0.1, 2013-11-06 11:17:19, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.328732
127.0.0.1, 2013-11-06 11:17:27, GET, /Performatrix/default/user/register, HTTP/1.1, 200, 0.505644
127.0.0.1, 2013-11-06 11:17:35, GET, /Performatrix/default/user/login, HTTP/1.1, 200, 0.526156
127.0.0.1, 2013-11-06 11:17:37, GET, /Performatrix/default/index, HTTP/1.1, 200, 0.444743
127.0.0.1, 2013-11-06 11:17:43, GET, /admin/default/index, HTTP/1.1, 303, 0.004437
127.0.0.1, 2013-11-06 11:17:43, GET, /admin/default/site, HTTP/1.1, 200, 0.049046
127.0.0.1, 2013-11-06 11:17:46, GET, /Performatrix/default/index, HTTP/1.1, 200, 0.469286
127.0.0.1, 2013-11-06 11:17:53, GET, /admin/default/peek/examples/views/default/index.html, HTTP/1.1, 200, 0.118426
127.0.0.1, 2013-11-06 11:42:26, GET, /Performatrix/default/index, HTTP/1.1, 200, 0.095712
127.0.0.1, 2013-11-06 11:42:26, GET, /Performatrix/static/js/jquery.js, HTTP/1.1, 304, 0.000381
127.0.0.1, 2013-11-06 11:42:26, GET, /Performatrix/static/css/calendar.css, HTTP/1.1, 304, 0.000781
127.0.0.1, 2013-11-06 11:42:26, GET, /Performatrix/static/js/calendar.js, HTTP/1.1, 304, 0.000326
127.0.0.1, 2013-11-06 11:42:26, GET, /Performatrix/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000664
127.0.0.1, 2013-11-06 11:42:26, GET, /Performatrix/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000276
127.0.0.1, 2013-11-06 11:42:26, GET, /Performatrix/static/css/web2py.css, HTTP/1.1, 304, 0.001553
127.0.0.1, 2013-11-06 11:42:26, GET, /Performatrix/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001407
127.0.0.1, 2013-11-06 11:42:26, GET, /Performatrix/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000270
